survived,pclass,sex,age,sibsp,parch,fare,class,who,embark_town
0,1,male,71.0,0,0,49.5042,First,man,Cherbourg
0,3,male,21.0,0,0,8.05,Third,man,Southampton
0,3,male,,0,0,14.4583,Third,man,Cherbourg
1,1,female,54.0,1,0,78.2667,First,woman,Cherbourg
0,3,male,,0,0,15.1,Third,man,Southampton
0,1,female,25.0,1,2,151.55,First,woman,Southampton
0,3,male,24.0,0,0,7.7958,Third,man,Southampton
0,3,male,17.0,0,0,8.6625,Third,man,Southampton
0,3,female,21.0,0,0,7.75,Third,woman,Queenstown
0,3,female,,0,0,7.6292,Third,woman,Queenstown
0,3,female,37.0,0,0,9.5875,Third,woman,Southampton
1,1,female,16.0,0,0,86.5,First,woman,Southampton
0,1,male,18.0,1,0,108.9,First,man,Cherbourg
1,2,female,33.0,0,2,26.0,Second,woman,Southampton
1,1,male,,0,0,26.55,First,man,Southampton
0,3,male,28.0,0,0,22.525,Third,man,Southampton
1,3,male,26.0,0,0,56.4958,Third,man,Southampton
1,3,male,29.0,0,0,7.75,Third,man,Queenstown
0,3,male,,0,0,8.05,Third,man,Southampton
1,1,male,36.0,0,0,26.2875,First,man,Southampton
1,1,female,54.0,1,0,59.4,First,woman,Cherbourg
0,3,male,24.0,0,0,7.4958,Third,man,Southampton
0,1,male,47.0,0,0,34.0208,First,man,Southampton
1,2,female,34.0,0,0,10.5,Second,woman,Southampton
0,3,male,,0,0,24.15,Third,man,Queenstown
1,2,female,36.0,1,0,26.0,Second,woman,Southampton
0,3,male,32.0,0,0,7.8958,Third,man,Southampton
1,1,female,30.0,0,0,93.5,First,woman,Southampton
0,3,male,22.0,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,7.225,Third,man,Cherbourg
1,1,female,44.0,0,1,57.9792,First,woman,Cherbourg
0,3,male,,0,0,7.2292,Third,man,Cherbourg
0,3,male,40.5,0,0,7.75,Third,man,Queenstown
1,2,female,50.0,0,0,10.5,Second,woman,Southampton
0,1,male,,0,0,221.7792,First,man,Southampton
0,3,male,39.0,0,0,7.925,Third,man,Southampton
0,2,male,23.0,2,1,11.5,Second,man,Southampton
1,2,female,2.0,1,1,26.0,Second,child,Southampton
0,3,male,,0,0,7.2292,Third,man,Cherbourg
0,3,male,17.0,1,1,7.2292,Third,man,Cherbourg
1,3,female,,0,2,22.3583,Third,woman,Cherbourg
0,3,female,30.0,0,0,8.6625,Third,woman,Southampton
1,2,female,7.0,0,2,26.25,Second,child,Southampton
0,1,male,45.0,0,0,26.55,First,man,Southampton
1,1,female,30.0,0,0,106.425,First,woman,Cherbourg
0,3,male,,0,0,14.5,Third,man,Southampton
1,1,female,22.0,0,2,49.5,First,woman,Cherbourg
1,1,female,36.0,0,2,71.0,First,woman,Southampton
0,3,female,9.0,4,2,31.275,Third,child,Southampton
0,3,female,11.0,4,2,31.275,Third,child,Southampton
1,2,male,32.0,1,0,26.0,Second,man,Southampton
0,1,male,50.0,1,0,106.425,First,man,Cherbourg
0,1,male,64.0,0,0,26.0,First,man,Southampton
1,2,female,19.0,1,0,26.0,Second,woman,Southampton
1,2,male,,0,0,13.8625,Second,man,Cherbourg
0,3,male,33.0,1,1,20.525,Third,man,Southampton
1,2,male,8.0,1,1,36.75,Second,child,Southampton
1,1,male,17.0,0,2,110.8833,First,man,Cherbourg
0,2,male,27.0,0,0,26.0,Second,man,Southampton
0,3,male,,0,0,7.8292,Third,man,Queenstown
1,3,male,22.0,0,0,7.225,Third,man,Cherbourg
1,3,female,22.0,0,0,7.775,Third,woman,Southampton
0,1,male,62.0,0,0,26.55,First,man,Southampton
1,1,female,48.0,1,0,39.6,First,woman,Cherbourg
0,1,male,,0,0,227.525,First,man,Cherbourg
1,1,female,39.0,1,1,79.65,First,woman,Southampton
1,3,female,36.0,1,0,17.4,Third,woman,Southampton
0,3,male,,0,0,7.75,Third,man,Queenstown
0,3,male,40.0,0,0,7.8958,Third,man,Southampton
0,2,male,28.0,0,0,13.5,Second,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
0,3,female,,0,0,8.05,Third,woman,Southampton
0,3,male,24.0,2,0,24.15,Third,man,Southampton
0,3,male,19.0,0,0,7.8958,Third,man,Southampton
0,3,female,29.0,0,4,21.075,Third,woman,Southampton
0,3,male,,0,0,7.2292,Third,man,Cherbourg
1,3,male,32.0,0,0,7.8542,Third,man,Southampton
1,2,male,62.0,0,0,10.5,Second,man,Southampton
1,1,female,53.0,2,0,51.4792,First,woman,Southampton
1,1,male,36.0,0,0,26.3875,First,man,Southampton
1,3,female,,0,0,7.75,Third,woman,Queenstown
0,3,male,16.0,0,0,8.05,Third,man,Southampton
0,3,male,19.0,0,0,14.5,Third,man,Southampton
1,2,female,34.0,0,0,13.0,Second,woman,Southampton
1,1,female,39.0,1,0,55.9,First,woman,Southampton
0,3,female,,1,0,14.4583,Third,woman,Cherbourg
1,3,male,32.0,0,0,7.925,Third,man,Southampton
1,2,female,25.0,1,1,30.0,Second,woman,Southampton
1,1,female,39.0,1,1,110.8833,First,woman,Cherbourg
0,2,male,54.0,0,0,26.0,Second,man,Southampton
0,1,male,36.0,0,0,40.125,First,man,Cherbourg
0,3,male,,0,0,8.7125,Third,man,Cherbourg
1,1,female,18.0,0,2,79.65,First,woman,Southampton
0,2,male,47.0,0,0,15.0,Second,man,Southampton
1,1,male,60.0,1,1,79.2,First,man,Cherbourg
0,3,male,22.0,0,0,8.05,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
0,3,male,35.0,0,0,7.125,Third,man,Southampton
1,1,female,52.0,1,0,78.2667,First,woman,Cherbourg
0,3,male,47.0,0,0,7.25,Third,man,Southampton
0,3,female,,0,2,7.75,Third,woman,Queenstown
0,2,male,37.0,1,0,26.0,Second,man,Southampton
0,3,male,36.0,1,1,24.15,Third,man,Southampton
1,2,female,,0,0,33.0,Second,woman,Southampton
0,3,male,49.0,0,0,0.0,Third,man,Southampton
0,3,male,,0,0,7.225,Third,man,Cherbourg
1,1,male,49.0,1,0,56.9292,First,man,Cherbourg
1,2,female,24.0,2,1,27.0,Second,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,1,male,,0,0,42.4,First,man,Southampton
0,3,male,44.0,0,0,8.05,Third,man,Southampton
1,1,male,35.0,0,0,26.55,First,man,Cherbourg
0,3,male,36.0,1,0,15.55,Third,man,Southampton
0,3,male,30.0,0,0,7.8958,Third,man,Southampton
1,1,male,27.0,0,0,30.5,First,man,Southampton
1,2,female,22.0,1,2,41.5792,Second,woman,Cherbourg
1,1,female,40.0,0,0,153.4625,First,woman,Southampton
0,3,female,39.0,1,5,31.275,Third,woman,Southampton
0,3,male,,0,0,7.05,Third,man,Southampton
1,3,female,,1,0,15.5,Third,woman,Queenstown
0,3,male,,0,0,7.75,Third,man,Queenstown
0,3,male,35.0,0,0,8.05,Third,man,Southampton
1,2,female,24.0,1,2,65.0,Second,woman,Southampton
0,3,male,34.0,1,1,14.4,Third,man,Southampton
0,3,female,26.0,1,0,16.1,Third,woman,Southampton
1,2,female,4.0,2,1,39.0,Second,child,Southampton
0,2,male,26.0,0,0,10.5,Second,man,Southampton
0,3,male,27.0,1,0,14.4542,Third,man,Cherbourg
1,1,male,42.0,1,0,52.5542,First,man,Southampton
1,3,male,20.0,1,1,15.7417,Third,man,Cherbourg
0,3,male,21.0,0,0,7.8542,Third,man,Southampton
0,3,male,21.0,0,0,16.1,Third,man,Southampton
0,1,male,61.0,0,0,32.3208,First,man,Southampton
0,2,male,57.0,0,0,12.35,Second,man,Queenstown
1,1,female,21.0,0,0,77.9583,First,woman,Southampton
0,3,male,26.0,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,7.7333,Third,man,Queenstown
1,1,male,80.0,0,0,30.0,First,man,Southampton
0,3,male,51.0,0,0,7.0542,Third,man,Southampton
1,1,male,32.0,0,0,30.5,First,man,Cherbourg
0,1,male,,0,0,0.0,First,man,Southampton
0,3,female,9.0,3,2,27.9,Third,child,Southampton
1,2,female,28.0,0,0,13.0,Second,woman,Southampton
0,3,male,32.0,0,0,7.925,Third,man,Southampton
0,2,male,31.0,1,1,26.25,Second,man,Southampton
0,3,female,41.0,0,5,39.6875,Third,woman,Southampton
0,3,male,,1,0,16.1,Third,man,Southampton
0,3,male,20.0,0,0,7.8542,Third,man,Southampton
1,1,female,24.0,0,0,69.3,First,woman,Cherbourg
0,3,female,2.0,3,2,27.9,Third,child,Southampton
1,3,male,,0,0,56.4958,Third,man,Southampton
1,3,female,0.75,2,1,19.2583,Third,child,Cherbourg
1,1,male,48.0,1,0,76.7292,First,man,Cherbourg
0,3,male,19.0,0,0,7.8958,Third,man,Southampton
1,1,male,56.0,0,0,35.5,First,man,Cherbourg
0,3,male,,0,0,7.55,Third,man,Southampton
1,3,female,23.0,0,0,7.55,Third,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
1,2,female,18.0,0,1,23.0,Second,woman,Southampton
0,3,male,21.0,0,0,8.4333,Third,man,Southampton
1,3,female,,0,0,7.8292,Third,woman,Queenstown
0,3,female,18.0,0,0,6.75,Third,woman,Queenstown
0,2,male,24.0,2,0,73.5,Second,man,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,3,female,32.0,1,1,15.5,Third,woman,Queenstown
0,2,male,23.0,0,0,13.0,Second,man,Southampton
0,1,male,58.0,0,2,113.275,First,man,Cherbourg
1,1,male,50.0,2,0,133.65,First,man,Southampton
0,3,male,40.0,0,0,7.225,Third,man,Cherbourg
0,1,male,47.0,0,0,25.5875,First,man,Southampton
0,3,male,36.0,0,0,7.4958,Third,man,Southampton
1,3,male,20.0,1,0,7.925,Third,man,Southampton
0,2,male,32.0,2,0,73.5,Second,man,Southampton
0,2,male,25.0,0,0,13.0,Second,man,Southampton
0,3,male,,0,0,7.775,Third,man,Southampton
0,3,male,43.0,0,0,8.05,Third,man,Southampton
1,1,female,,1,0,52.0,First,woman,Southampton
1,2,female,40.0,1,1,39.0,Second,woman,Southampton
0,1,male,31.0,1,0,52.0,First,man,Southampton
0,2,male,70.0,0,0,10.5,Second,man,Southampton
1,2,male,31.0,0,0,13.0,Second,man,Southampton
0,2,male,,0,0,0.0,Second,man,Southampton
0,3,male,18.0,0,0,7.775,Third,man,Southampton
0,3,male,24.5,0,0,8.05,Third,man,Southampton
1,3,female,18.0,0,0,9.8417,Third,woman,Southampton
0,3,female,43.0,1,6,46.9,Third,woman,Southampton
1,1,male,36.0,0,1,512.3292,First,man,Cherbourg
0,3,female,,0,0,8.1375,Third,woman,Queenstown
1,1,male,27.0,0,0,76.7292,First,man,Cherbourg
0,3,male,20.0,0,0,9.225,Third,man,Southampton
0,3,male,14.0,5,2,46.9,Third,child,Southampton
0,2,male,60.0,1,1,39.0,Second,man,Southampton
0,2,male,25.0,1,2,41.5792,Second,man,Cherbourg
0,3,male,14.0,4,1,39.6875,Third,child,Southampton
0,3,male,19.0,0,0,10.1708,Third,man,Southampton
0,3,male,18.0,0,0,7.7958,Third,man,Southampton
1,1,female,15.0,0,1,211.3375,First,child,Southampton
1,1,male,31.0,1,0,57.0,First,man,Southampton
1,3,female,4.0,0,1,13.4167,Third,child,Cherbourg
1,3,male,,0,0,56.4958,Third,man,Southampton
0,3,male,25.0,0,0,7.225,Third,man,Cherbourg
0,1,male,60.0,0,0,26.55,First,man,Southampton
0,2,male,52.0,0,0,13.5,Second,man,Southampton
0,3,male,44.0,0,0,8.05,Third,man,Southampton
1,3,female,,0,0,7.7333,Third,woman,Queenstown
0,1,male,49.0,1,1,110.8833,First,man,Cherbourg
0,3,male,42.0,0,0,7.65,Third,man,Southampton
1,1,female,18.0,1,0,227.525,First,woman,Cherbourg
1,1,male,35.0,0,0,26.2875,First,man,Southampton
0,3,female,18.0,0,1,14.4542,Third,woman,Cherbourg
0,3,male,25.0,0,0,7.7417,Third,man,Queenstown
0,3,male,26.0,1,0,7.8542,Third,man,Southampton
0,2,male,39.0,0,0,26.0,Second,man,Southampton
1,2,female,45.0,0,0,13.5,Second,woman,Southampton
1,1,male,42.0,0,0,26.2875,First,man,Southampton
1,1,female,22.0,0,0,151.55,First,woman,Southampton
1,3,male,,1,1,15.2458,Third,man,Cherbourg
1,1,female,24.0,0,0,49.5042,First,woman,Cherbourg
0,1,male,,0,0,26.55,First,man,Southampton
1,1,male,48.0,1,0,52.0,First,man,Southampton
0,3,male,29.0,0,0,9.4833,Third,man,Southampton
0,2,male,52.0,0,0,13.0,Second,man,Southampton
0,3,male,19.0,0,0,7.65,Third,man,Southampton
1,1,female,38.0,0,0,227.525,First,woman,Cherbourg
1,2,female,27.0,0,0,10.5,Second,woman,Southampton
0,3,male,,0,0,15.5,Third,man,Queenstown
0,3,male,33.0,0,0,7.775,Third,man,Southampton
1,2,female,6.0,0,1,33.0,Second,child,Southampton
0,3,male,17.0,1,0,7.0542,Third,man,Southampton
0,2,male,34.0,0,0,13.0,Second,man,Southampton
0,2,male,50.0,0,0,13.0,Second,man,Southampton
1,1,male,27.0,1,0,53.1,First,man,Southampton
0,3,male,20.0,0,0,8.6625,Third,man,Southampton
1,2,female,30.0,3,0,21.0,Second,woman,Southampton
1,3,female,,0,0,7.7375,Third,woman,Queenstown
0,2,male,25.0,1,0,26.0,Second,man,Southampton
0,3,female,25.0,1,0,7.925,Third,woman,Southampton
1,1,female,29.0,0,0,211.3375,First,woman,Southampton
0,3,male,11.0,0,0,18.7875,Third,child,Cherbourg
0,2,male,,0,0,0.0,Second,man,Southampton
0,2,male,23.0,0,0,13.0,Second,man,Southampton
0,2,male,23.0,0,0,13.0,Second,man,Southampton
0,3,male,28.5,0,0,16.1,Third,man,Southampton
0,3,female,48.0,1,3,34.375,Third,woman,Southampton
1,1,male,35.0,0,0,512.3292,First,man,Cherbourg
0,3,male,,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
1,1,male,,0,0,30.0,First,man,Southampton
0,1,male,36.0,1,0,78.85,First,man,Southampton
1,1,female,21.0,2,2,262.375,First,woman,Cherbourg
0,3,male,24.0,1,0,16.1,Third,man,Southampton
1,3,male,31.0,0,0,7.925,Third,man,Southampton
0,1,male,70.0,1,1,71.0,First,man,Southampton
0,3,male,16.0,1,1,20.25,Third,man,Southampton
1,2,female,30.0,0,0,13.0,Second,woman,Southampton
0,1,male,19.0,1,0,53.1,First,man,Southampton
0,3,male,31.0,0,0,7.75,Third,man,Queenstown
1,2,female,4.0,1,1,23.0,Second,child,Southampton
1,3,male,6.0,0,1,12.475,Third,child,Southampton
0,3,male,33.0,0,0,9.5,Third,man,Southampton
0,3,male,23.0,0,0,7.8958,Third,man,Southampton
1,2,female,48.0,1,2,65.0,Second,woman,Southampton
1,2,male,0.67,1,1,14.5,Second,child,Southampton
0,3,male,28.0,0,0,7.7958,Third,man,Southampton
0,2,male,18.0,0,0,11.5,Second,man,Southampton
0,3,male,34.0,0,0,8.05,Third,man,Southampton
1,1,female,33.0,0,0,86.5,First,woman,Southampton
0,3,male,,0,0,14.5,Third,man,Southampton
0,3,male,41.0,0,0,7.125,Third,man,Southampton
1,3,male,20.0,0,0,7.2292,Third,man,Cherbourg
1,1,female,36.0,1,2,120.0,First,woman,Southampton
0,3,male,16.0,0,0,7.775,Third,man,Southampton
1,1,female,51.0,1,0,77.9583,First,woman,Southampton
0,1,male,,0,0,39.6,First,man,Cherbourg
0,3,female,30.5,0,0,7.75,Third,woman,Queenstown
0,3,male,,1,0,24.15,Third,man,Queenstown
0,3,male,32.0,0,0,8.3625,Third,man,Southampton
0,3,male,24.0,0,0,9.5,Third,man,Southampton
0,3,male,48.0,0,0,7.8542,Third,man,Southampton
0,2,female,57.0,0,0,10.5,Second,woman,Southampton
0,3,male,,0,0,7.225,Third,man,Cherbourg
1,2,female,54.0,1,3,23.0,Second,woman,Southampton
0,3,male,18.0,0,0,7.75,Third,man,Southampton
0,3,male,,0,0,7.75,Third,man,Queenstown
1,3,female,5.0,0,0,12.475,Third,child,Southampton
0,3,male,,0,0,7.7375,Third,man,Queenstown
1,1,female,43.0,0,1,211.3375,First,woman,Southampton
1,3,female,13.0,0,0,7.2292,Third,child,Cherbourg
1,1,female,17.0,1,0,57.0,First,woman,Southampton
0,1,male,29.0,0,0,30.0,First,man,Southampton
0,3,male,,1,2,23.45,Third,man,Southampton
0,3,male,25.0,0,0,7.05,Third,man,Southampton
0,3,male,25.0,0,0,7.25,Third,man,Southampton
1,3,female,18.0,0,0,7.4958,Third,woman,Southampton
0,3,male,8.0,4,1,29.125,Third,child,Queenstown
1,3,male,1.0,1,2,20.575,Third,child,Southampton
0,1,male,46.0,0,0,79.2,First,man,Cherbourg
0,3,male,,0,0,7.75,Third,man,Queenstown
0,2,male,16.0,0,0,26.0,Second,man,Southampton
0,3,female,,8,2,69.55,Third,woman,Southampton
0,1,male,,0,0,30.6958,First,man,Cherbourg
0,3,male,25.0,0,0,7.8958,Third,man,Southampton
0,2,male,39.0,0,0,13.0,Second,man,Southampton
1,1,female,49.0,0,0,25.9292,First,woman,Southampton
1,3,female,31.0,0,0,8.6833,Third,woman,Southampton
0,3,male,30.0,0,0,7.2292,Third,man,Cherbourg
0,3,female,30.0,1,1,24.15,Third,woman,Southampton
0,2,male,34.0,0,0,13.0,Second,man,Southampton
1,2,female,31.0,1,1,26.25,Second,woman,Southampton
1,1,male,11.0,1,2,120.0,First,child,Southampton
1,3,male,0.42,0,1,8.5167,Third,child,Cherbourg
1,3,male,27.0,0,0,6.975,Third,man,Southampton
0,3,male,31.0,0,0,7.775,Third,man,Southampton
0,1,male,39.0,0,0,0.0,First,man,Southampton
0,3,female,18.0,0,0,7.775,Third,woman,Southampton
0,2,male,39.0,0,0,13.0,Second,man,Southampton
1,1,female,33.0,1,0,53.1,First,woman,Southampton
0,3,male,26.0,0,0,7.8875,Third,man,Southampton
0,3,male,39.0,0,0,24.15,Third,man,Southampton
0,2,male,35.0,0,0,10.5,Second,man,Southampton
0,3,female,6.0,4,2,31.275,Third,child,Southampton
0,3,male,30.5,0,0,8.05,Third,man,Southampton
0,1,male,,0,0,0.0,First,man,Southampton
0,3,female,23.0,0,0,7.925,Third,woman,Southampton
0,2,male,31.0,1,1,37.0042,Second,man,Cherbourg
0,3,male,43.0,0,0,6.45,Third,man,Southampton
0,3,male,10.0,3,2,27.9,Third,child,Southampton
1,1,female,52.0,1,1,93.5,First,woman,Southampton
1,3,male,27.0,0,0,8.6625,Third,man,Southampton
0,1,male,38.0,0,0,0.0,First,man,Southampton
1,3,female,27.0,0,1,12.475,Third,woman,Southampton
0,3,male,2.0,4,1,39.6875,Third,child,Southampton
0,3,male,,0,0,6.95,Third,man,Queenstown
0,3,male,,0,0,56.4958,Third,man,Southampton
1,2,male,1.0,0,2,37.0042,Second,child,Cherbourg
1,3,male,,0,0,7.75,Third,man,Queenstown
1,1,female,62.0,0,0,80.0,First,woman,
1,3,female,15.0,1,0,14.4542,Third,child,Cherbourg
1,2,male,0.83,1,1,18.75,Second,child,Southampton
0,3,male,,0,0,7.2292,Third,man,Cherbourg
0,3,male,23.0,0,0,7.8542,Third,man,Southampton
0,3,male,18.0,0,0,8.3,Third,man,Southampton
1,1,female,39.0,1,1,83.1583,First,woman,Cherbourg
0,3,male,21.0,0,0,8.6625,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
1,3,male,32.0,0,0,56.4958,Third,man,Southampton
1,1,male,,0,0,29.7,First,man,Cherbourg
0,3,male,20.0,0,0,7.925,Third,man,Southampton
0,2,male,16.0,0,0,10.5,Second,man,Southampton
1,1,female,30.0,0,0,31.0,First,woman,Cherbourg
0,3,male,34.5,0,0,6.4375,Third,man,Cherbourg
0,3,male,17.0,0,0,8.6625,Third,man,Southampton
0,3,male,42.0,0,0,7.55,Third,man,Southampton
0,3,male,,8,2,69.55,Third,man,Southampton
0,3,male,35.0,0,0,7.8958,Third,man,Cherbourg
0,2,male,28.0,0,1,33.0,Second,man,Southampton
1,1,female,,1,0,89.1042,First,woman,Cherbourg
0,3,male,4.0,4,2,31.275,Third,child,Southampton
0,3,male,74.0,0,0,7.775,Third,man,Southampton
0,3,female,9.0,1,1,15.2458,Third,child,Cherbourg
1,1,female,16.0,0,1,39.4,First,woman,Southampton
0,2,female,44.0,1,0,26.0,Second,woman,Southampton
1,3,female,18.0,0,1,9.35,Third,woman,Southampton
1,1,female,45.0,1,1,164.8667,First,woman,Southampton
1,1,male,51.0,0,0,26.55,First,man,Southampton
1,3,female,24.0,0,3,19.2583,Third,woman,Cherbourg
0,3,male,,0,0,7.2292,Third,man,Cherbourg
0,3,male,41.0,2,0,14.1083,Third,man,Southampton
0,2,male,21.0,1,0,11.5,Second,man,Southampton
1,1,female,48.0,0,0,25.9292,First,woman,Southampton
0,3,female,,8,2,69.55,Third,woman,Southampton
0,2,male,24.0,0,0,13.0,Second,man,Southampton
1,2,female,42.0,0,0,13.0,Second,woman,Southampton
1,2,female,27.0,1,0,13.8583,Second,woman,Cherbourg
0,1,male,31.0,0,0,50.4958,First,man,Southampton
0,3,male,,0,0,9.5,Third,man,Southampton
1,3,male,4.0,1,1,11.1333,Third,child,Southampton
0,3,male,26.0,0,0,7.8958,Third,man,Southampton
1,1,female,47.0,1,1,52.5542,First,woman,Southampton
0,1,male,33.0,0,0,5.0,First,man,Southampton
0,3,male,47.0,0,0,9.0,Third,man,Southampton
1,2,female,28.0,1,0,24.0,Second,woman,Cherbourg
1,3,female,15.0,0,0,7.225,Third,child,Cherbourg
0,3,male,20.0,0,0,9.8458,Third,man,Southampton
0,3,male,19.0,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
1,1,female,56.0,0,1,83.1583,First,woman,Cherbourg
1,2,female,25.0,0,1,26.0,Second,woman,Southampton
0,3,male,33.0,0,0,7.8958,Third,man,Southampton
0,3,female,22.0,0,0,10.5167,Third,woman,Southampton
0,2,male,28.0,0,0,10.5,Second,man,Southampton
0,3,male,25.0,0,0,7.05,Third,man,Southampton
0,3,female,39.0,0,5,29.125,Third,woman,Queenstown
0,2,male,27.0,0,0,13.0,Second,man,Southampton
1,1,female,19.0,0,0,30.0,First,woman,Southampton
0,3,female,,1,2,23.45,Third,woman,Southampton
1,1,male,26.0,0,0,30.0,First,man,Cherbourg
0,3,male,32.0,0,0,7.75,Third,man,Queenstown
